name,asset_type_name,description
Category 2561,Intangible assets,Description for category 2561
Category 2562,Tangible assets,Description for category 2562
Category 2563,Intangible assets,Description for category 2563
Category 2564,Operating assets,Description for category 2564
Category 2565,Intangible assets,Description for category 2565
Category 2566,Tangible assets,Description for category 2566
Category 2567,Tangible assets,Description for category 2567
Category 2568,Tangible assets,Description for category 2568
Category 2569,Operating assets,Description for category 2569
Category 2570,Operating assets,Description for category 2570
Category 2571,Tangible assets,Description for category 2571
Category 2572,Intangible assets,Description for category 2572
Category 2573,Tangible assets,Description for category 2573
Category 2574,Operating assets,Description for category 2574
Category 2575,Operating assets,Description for category 2575
Category 2576,Intangible assets,Description for category 2576
Category 2577,Intangible assets,Description for category 2577
Category 2578,Tangible assets,Description for category 2578
Category 2579,Tangible assets,Description for category 2579
Category 2580,Tangible assets,Description for category 2580
Category 2581,Tangible assets,Description for category 2581
Category 2582,Intangible assets,Description for category 2582
Category 2583,Tangible assets,Description for category 2583
Category 2584,Tangible assets,Description for category 2584
Category 2585,Operating assets,Description for category 2585
Category 2586,Intangible assets,Description for category 2586
Category 2587,Tangible assets,Description for category 2587
Category 2588,Operating assets,Description for category 2588
Category 2589,Operating assets,Description for category 2589
Category 2590,Operating assets,Description for category 2590
Category 2591,Operating assets,Description for category 2591
Category 2592,Tangible assets,Description for category 2592
Category 2593,Tangible assets,Description for category 2593
Category 2594,Tangible assets,Description for category 2594
Category 2595,Tangible assets,Description for category 2595
Category 2596,Tangible assets,Description for category 2596
Category 2597,Operating assets,Description for category 2597
Category 2598,Operating assets,Description for category 2598
Category 2599,Operating assets,Description for category 2599
Category 2600,Intangible assets,Description for category 2600
Category 2601,Intangible assets,Description for category 2601
Category 2602,Operating assets,Description for category 2602
Category 2603,Operating assets,Description for category 2603
Category 2604,Operating assets,Description for category 2604
Category 2605,Intangible assets,Description for category 2605
Category 2606,Operating assets,Description for category 2606
Category 2607,Intangible assets,Description for category 2607
Category 2608,Tangible assets,Description for category 2608
Category 2609,Tangible assets,Description for category 2609
Category 2610,Tangible assets,Description for category 2610
Category 2611,Operating assets,Description for category 2611
Category 2612,Tangible assets,Description for category 2612
Category 2613,Operating assets,Description for category 2613
Category 2614,Tangible assets,Description for category 2614
Category 2615,Operating assets,Description for category 2615
Category 2616,Tangible assets,Description for category 2616
Category 2617,Tangible assets,Description for category 2617
Category 2618,Tangible assets,Description for category 2618
Category 2619,Tangible assets,Description for category 2619
Category 2620,Tangible assets,Description for category 2620
Category 2621,Intangible assets,Description for category 2621
Category 2622,Intangible assets,Description for category 2622
Category 2623,Tangible assets,Description for category 2623
Category 2624,Intangible assets,Description for category 2624
Category 2625,Intangible assets,Description for category 2625
Category 2626,Intangible assets,Description for category 2626
Category 2627,Operating assets,Description for category 2627
Category 2628,Operating assets,Description for category 2628
Category 2629,Tangible assets,Description for category 2629
Category 2630,Tangible assets,Description for category 2630
Category 2631,Tangible assets,Description for category 2631
Category 2632,Intangible assets,Description for category 2632
Category 2633,Operating assets,Description for category 2633
Category 2634,Tangible assets,Description for category 2634
Category 2635,Operating assets,Description for category 2635
Category 2636,Intangible assets,Description for category 2636
Category 2637,Operating assets,Description for category 2637
Category 2638,Tangible assets,Description for category 2638
Category 2639,Intangible assets,Description for category 2639
Category 2640,Operating assets,Description for category 2640
Category 2641,Operating assets,Description for category 2641
Category 2642,Tangible assets,Description for category 2642
Category 2643,Intangible assets,Description for category 2643
Category 2644,Tangible assets,Description for category 2644
Category 2645,Operating assets,Description for category 2645
Category 2646,Operating assets,Description for category 2646
Category 2647,Intangible assets,Description for category 2647
Category 2648,Tangible assets,Description for category 2648
Category 2649,Operating assets,Description for category 2649
Category 2650,Operating assets,Description for category 2650
Category 2651,Operating assets,Description for category 2651
Category 2652,Intangible assets,Description for category 2652
Category 2653,Tangible assets,Description for category 2653
Category 2654,Tangible assets,Description for category 2654
Category 2655,Operating assets,Description for category 2655
Category 2656,Intangible assets,Description for category 2656
Category 2657,Intangible assets,Description for category 2657
Category 2658,Tangible assets,Description for category 2658
Category 2659,Tangible assets,Description for category 2659
Category 2660,Tangible assets,Description for category 2660
Category 2661,Tangible assets,Description for category 2661
Category 2662,Tangible assets,Description for category 2662
Category 2663,Tangible assets,Description for category 2663
Category 2664,Operating assets,Description for category 2664
Category 2665,Tangible assets,Description for category 2665
Category 2666,Operating assets,Description for category 2666
Category 2667,Operating assets,Description for category 2667
Category 2668,Intangible assets,Description for category 2668
Category 2669,Intangible assets,Description for category 2669
Category 2670,Intangible assets,Description for category 2670
Category 2671,Intangible assets,Description for category 2671
Category 2672,Operating assets,Description for category 2672
Category 2673,Intangible assets,Description for category 2673
Category 2674,Tangible assets,Description for category 2674
Category 2675,Operating assets,Description for category 2675
Category 2676,Operating assets,Description for category 2676
Category 2677,Operating assets,Description for category 2677
Category 2678,Tangible assets,Description for category 2678
Category 2679,Operating assets,Description for category 2679
Category 2680,Intangible assets,Description for category 2680
Category 2681,Tangible assets,Description for category 2681
Category 2682,Operating assets,Description for category 2682
Category 2683,Intangible assets,Description for category 2683
Category 2684,Tangible assets,Description for category 2684
Category 2685,Operating assets,Description for category 2685
Category 2686,Intangible assets,Description for category 2686
Category 2687,Tangible assets,Description for category 2687
Category 2688,Operating assets,Description for category 2688
Category 2689,Tangible assets,Description for category 2689
Category 2690,Intangible assets,Description for category 2690
Category 2691,Operating assets,Description for category 2691
Category 2692,Operating assets,Description for category 2692
Category 2693,Operating assets,Description for category 2693
Category 2694,Tangible assets,Description for category 2694
Category 2695,Intangible assets,Description for category 2695
Category 2696,Intangible assets,Description for category 2696
Category 2697,Intangible assets,Description for category 2697
Category 2698,Tangible assets,Description for category 2698
Category 2699,Intangible assets,Description for category 2699
Category 2700,Intangible assets,Description for category 2700
Category 2701,Tangible assets,Description for category 2701
Category 2702,Tangible assets,Description for category 2702
Category 2703,Intangible assets,Description for category 2703
Category 2704,Operating assets,Description for category 2704
Category 2705,Intangible assets,Description for category 2705
Category 2706,Tangible assets,Description for category 2706
Category 2707,Operating assets,Description for category 2707
Category 2708,Tangible assets,Description for category 2708
Category 2709,Operating assets,Description for category 2709
Category 2710,Operating assets,Description for category 2710
Category 2711,Intangible assets,Description for category 2711
Category 2712,Operating assets,Description for category 2712
Category 2713,Operating assets,Description for category 2713
Category 2714,Tangible assets,Description for category 2714
Category 2715,Operating assets,Description for category 2715
Category 2716,Operating assets,Description for category 2716
Category 2717,Operating assets,Description for category 2717
Category 2718,Tangible assets,Description for category 2718
Category 2719,Tangible assets,Description for category 2719
Category 2720,Operating assets,Description for category 2720
Category 2721,Intangible assets,Description for category 2721
Category 2722,Tangible assets,Description for category 2722
Category 2723,Operating assets,Description for category 2723
Category 2724,Tangible assets,Description for category 2724
Category 2725,Operating assets,Description for category 2725
Category 2726,Operating assets,Description for category 2726
Category 2727,Tangible assets,Description for category 2727
Category 2728,Operating assets,Description for category 2728
Category 2729,Operating assets,Description for category 2729
Category 2730,Operating assets,Description for category 2730
Category 2731,Operating assets,Description for category 2731
Category 2732,Intangible assets,Description for category 2732
Category 2733,Tangible assets,Description for category 2733
Category 2734,Intangible assets,Description for category 2734
Category 2735,Operating assets,Description for category 2735
Category 2736,Intangible assets,Description for category 2736
Category 2737,Tangible assets,Description for category 2737
Category 2738,Intangible assets,Description for category 2738
Category 2739,Tangible assets,Description for category 2739
Category 2740,Tangible assets,Description for category 2740
Category 2741,Tangible assets,Description for category 2741
Category 2742,Operating assets,Description for category 2742
Category 2743,Intangible assets,Description for category 2743
Category 2744,Operating assets,Description for category 2744
Category 2745,Intangible assets,Description for category 2745
Category 2746,Intangible assets,Description for category 2746
Category 2747,Operating assets,Description for category 2747
Category 2748,Operating assets,Description for category 2748
Category 2749,Intangible assets,Description for category 2749
Category 2750,Intangible assets,Description for category 2750
Category 2751,Operating assets,Description for category 2751
Category 2752,Tangible assets,Description for category 2752
Category 2753,Operating assets,Description for category 2753
Category 2754,Operating assets,Description for category 2754
Category 2755,Intangible assets,Description for category 2755
Category 2756,Intangible assets,Description for category 2756
Category 2757,Intangible assets,Description for category 2757
Category 2758,Intangible assets,Description for category 2758
Category 2759,Operating assets,Description for category 2759
Category 2760,Tangible assets,Description for category 2760
Category 2761,Operating assets,Description for category 2761
Category 2762,Intangible assets,Description for category 2762
Category 2763,Intangible assets,Description for category 2763
Category 2764,Tangible assets,Description for category 2764
Category 2765,Intangible assets,Description for category 2765
Category 2766,Tangible assets,Description for category 2766
Category 2767,Operating assets,Description for category 2767
Category 2768,Operating assets,Description for category 2768
Category 2769,Operating assets,Description for category 2769
Category 2770,Operating assets,Description for category 2770
Category 2771,Tangible assets,Description for category 2771
Category 2772,Intangible assets,Description for category 2772
Category 2773,Intangible assets,Description for category 2773
Category 2774,Tangible assets,Description for category 2774
Category 2775,Intangible assets,Description for category 2775
Category 2776,Intangible assets,Description for category 2776
Category 2777,Intangible assets,Description for category 2777
Category 2778,Intangible assets,Description for category 2778
Category 2779,Operating assets,Description for category 2779
Category 2780,Tangible assets,Description for category 2780
Category 2781,Operating assets,Description for category 2781
Category 2782,Intangible assets,Description for category 2782
Category 2783,Tangible assets,Description for category 2783
Category 2784,Tangible assets,Description for category 2784
Category 2785,Tangible assets,Description for category 2785
Category 2786,Operating assets,Description for category 2786
Category 2787,Intangible assets,Description for category 2787
Category 2788,Tangible assets,Description for category 2788
Category 2789,Operating assets,Description for category 2789
Category 2790,Operating assets,Description for category 2790
Category 2791,Tangible assets,Description for category 2791
Category 2792,Tangible assets,Description for category 2792
Category 2793,Tangible assets,Description for category 2793
Category 2794,Tangible assets,Description for category 2794
Category 2795,Tangible assets,Description for category 2795
Category 2796,Tangible assets,Description for category 2796
Category 2797,Intangible assets,Description for category 2797
Category 2798,Operating assets,Description for category 2798
Category 2799,Tangible assets,Description for category 2799
Category 2800,Intangible assets,Description for category 2800
Category 2801,Tangible assets,Description for category 2801
Category 2802,Intangible assets,Description for category 2802
Category 2803,Tangible assets,Description for category 2803
Category 2804,Operating assets,Description for category 2804
Category 2805,Operating assets,Description for category 2805
Category 2806,Operating assets,Description for category 2806
Category 2807,Operating assets,Description for category 2807
Category 2808,Tangible assets,Description for category 2808
Category 2809,Intangible assets,Description for category 2809
Category 2810,Tangible assets,Description for category 2810
Category 2811,Intangible assets,Description for category 2811
Category 2812,Operating assets,Description for category 2812
Category 2813,Tangible assets,Description for category 2813
Category 2814,Tangible assets,Description for category 2814
Category 2815,Intangible assets,Description for category 2815
Category 2816,Tangible assets,Description for category 2816
Category 2817,Tangible assets,Description for category 2817
Category 2818,Tangible assets,Description for category 2818
Category 2819,Operating assets,Description for category 2819
Category 2820,Intangible assets,Description for category 2820
Category 2821,Operating assets,Description for category 2821
Category 2822,Intangible assets,Description for category 2822
Category 2823,Intangible assets,Description for category 2823
Category 2824,Intangible assets,Description for category 2824
Category 2825,Intangible assets,Description for category 2825
Category 2826,Operating assets,Description for category 2826
Category 2827,Intangible assets,Description for category 2827
Category 2828,Tangible assets,Description for category 2828
Category 2829,Intangible assets,Description for category 2829
Category 2830,Intangible assets,Description for category 2830
Category 2831,Tangible assets,Description for category 2831
Category 2832,Intangible assets,Description for category 2832
Category 2833,Tangible assets,Description for category 2833
Category 2834,Tangible assets,Description for category 2834
Category 2835,Tangible assets,Description for category 2835
Category 2836,Tangible assets,Description for category 2836
Category 2837,Operating assets,Description for category 2837
Category 2838,Intangible assets,Description for category 2838
Category 2839,Operating assets,Description for category 2839
Category 2840,Intangible assets,Description for category 2840
Category 2841,Operating assets,Description for category 2841
Category 2842,Operating assets,Description for category 2842
Category 2843,Intangible assets,Description for category 2843
Category 2844,Tangible assets,Description for category 2844
Category 2845,Intangible assets,Description for category 2845
Category 2846,Intangible assets,Description for category 2846
Category 2847,Intangible assets,Description for category 2847
Category 2848,Operating assets,Description for category 2848
Category 2849,Operating assets,Description for category 2849
Category 2850,Intangible assets,Description for category 2850
Category 2851,Operating assets,Description for category 2851
Category 2852,Tangible assets,Description for category 2852
Category 2853,Tangible assets,Description for category 2853
Category 2854,Intangible assets,Description for category 2854
Category 2855,Tangible assets,Description for category 2855
Category 2856,Operating assets,Description for category 2856
Category 2857,Operating assets,Description for category 2857
Category 2858,Tangible assets,Description for category 2858
Category 2859,Intangible assets,Description for category 2859
Category 2860,Intangible assets,Description for category 2860
Category 2861,Intangible assets,Description for category 2861
Category 2862,Intangible assets,Description for category 2862
Category 2863,Intangible assets,Description for category 2863
Category 2864,Tangible assets,Description for category 2864
Category 2865,Operating assets,Description for category 2865
Category 2866,Intangible assets,Description for category 2866
Category 2867,Tangible assets,Description for category 2867
Category 2868,Operating assets,Description for category 2868
Category 2869,Operating assets,Description for category 2869
Category 2870,Intangible assets,Description for category 2870
Category 2871,Tangible assets,Description for category 2871
Category 2872,Intangible assets,Description for category 2872
Category 2873,Intangible assets,Description for category 2873
Category 2874,Operating assets,Description for category 2874
Category 2875,Intangible assets,Description for category 2875
Category 2876,Operating assets,Description for category 2876
Category 2877,Intangible assets,Description for category 2877
Category 2878,Tangible assets,Description for category 2878
Category 2879,Operating assets,Description for category 2879
Category 2880,Operating assets,Description for category 2880
Category 2881,Operating assets,Description for category 2881
Category 2882,Tangible assets,Description for category 2882
Category 2883,Intangible assets,Description for category 2883
Category 2884,Operating assets,Description for category 2884
Category 2885,Tangible assets,Description for category 2885
Category 2886,Operating assets,Description for category 2886
Category 2887,Tangible assets,Description for category 2887
Category 2888,Intangible assets,Description for category 2888
Category 2889,Intangible assets,Description for category 2889
Category 2890,Tangible assets,Description for category 2890
Category 2891,Intangible assets,Description for category 2891
Category 2892,Intangible assets,Description for category 2892
Category 2893,Intangible assets,Description for category 2893
Category 2894,Operating assets,Description for category 2894
Category 2895,Intangible assets,Description for category 2895
Category 2896,Tangible assets,Description for category 2896
Category 2897,Intangible assets,Description for category 2897
Category 2898,Tangible assets,Description for category 2898
Category 2899,Tangible assets,Description for category 2899
Category 2900,Intangible assets,Description for category 2900
Category 2901,Intangible assets,Description for category 2901
Category 2902,Tangible assets,Description for category 2902
Category 2903,Tangible assets,Description for category 2903
Category 2904,Operating assets,Description for category 2904
Category 2905,Tangible assets,Description for category 2905
Category 2906,Intangible assets,Description for category 2906
Category 2907,Intangible assets,Description for category 2907
Category 2908,Tangible assets,Description for category 2908
Category 2909,Operating assets,Description for category 2909
Category 2910,Operating assets,Description for category 2910
Category 2911,Operating assets,Description for category 2911
Category 2912,Intangible assets,Description for category 2912
Category 2913,Tangible assets,Description for category 2913
Category 2914,Intangible assets,Description for category 2914
Category 2915,Operating assets,Description for category 2915
Category 2916,Tangible assets,Description for category 2916
Category 2917,Operating assets,Description for category 2917
Category 2918,Intangible assets,Description for category 2918
Category 2919,Operating assets,Description for category 2919
Category 2920,Tangible assets,Description for category 2920
Category 2921,Operating assets,Description for category 2921
Category 2922,Intangible assets,Description for category 2922
Category 2923,Operating assets,Description for category 2923
Category 2924,Operating assets,Description for category 2924
Category 2925,Operating assets,Description for category 2925
Category 2926,Intangible assets,Description for category 2926
Category 2927,Intangible assets,Description for category 2927
Category 2928,Tangible assets,Description for category 2928
Category 2929,Operating assets,Description for category 2929
Category 2930,Tangible assets,Description for category 2930
Category 2931,Tangible assets,Description for category 2931
Category 2932,Tangible assets,Description for category 2932
Category 2933,Tangible assets,Description for category 2933
Category 2934,Intangible assets,Description for category 2934
Category 2935,Tangible assets,Description for category 2935
Category 2936,Operating assets,Description for category 2936
Category 2937,Tangible assets,Description for category 2937
Category 2938,Intangible assets,Description for category 2938
Category 2939,Operating assets,Description for category 2939
Category 2940,Intangible assets,Description for category 2940
Category 2941,Operating assets,Description for category 2941
Category 2942,Operating assets,Description for category 2942
Category 2943,Intangible assets,Description for category 2943
Category 2944,Tangible assets,Description for category 2944
Category 2945,Operating assets,Description for category 2945
Category 2946,Intangible assets,Description for category 2946
Category 2947,Tangible assets,Description for category 2947
Category 2948,Intangible assets,Description for category 2948
Category 2949,Intangible assets,Description for category 2949
Category 2950,Tangible assets,Description for category 2950
Category 2951,Operating assets,Description for category 2951
Category 2952,Tangible assets,Description for category 2952
Category 2953,Intangible assets,Description for category 2953
Category 2954,Intangible assets,Description for category 2954
Category 2955,Tangible assets,Description for category 2955
Category 2956,Intangible assets,Description for category 2956
Category 2957,Operating assets,Description for category 2957
Category 2958,Operating assets,Description for category 2958
Category 2959,Operating assets,Description for category 2959
Category 2960,Tangible assets,Description for category 2960
Category 2961,Tangible assets,Description for category 2961
Category 2962,Intangible assets,Description for category 2962
Category 2963,Intangible assets,Description for category 2963
Category 2964,Operating assets,Description for category 2964
Category 2965,Tangible assets,Description for category 2965
Category 2966,Operating assets,Description for category 2966
Category 2967,Operating assets,Description for category 2967
Category 2968,Tangible assets,Description for category 2968
Category 2969,Tangible assets,Description for category 2969
Category 2970,Operating assets,Description for category 2970
Category 2971,Operating assets,Description for category 2971
Category 2972,Intangible assets,Description for category 2972
Category 2973,Intangible assets,Description for category 2973
Category 2974,Operating assets,Description for category 2974
Category 2975,Operating assets,Description for category 2975
Category 2976,Tangible assets,Description for category 2976
Category 2977,Tangible assets,Description for category 2977
Category 2978,Intangible assets,Description for category 2978
Category 2979,Operating assets,Description for category 2979
Category 2980,Intangible assets,Description for category 2980
Category 2981,Tangible assets,Description for category 2981
Category 2982,Tangible assets,Description for category 2982
Category 2983,Intangible assets,Description for category 2983
Category 2984,Intangible assets,Description for category 2984
Category 2985,Tangible assets,Description for category 2985
Category 2986,Operating assets,Description for category 2986
Category 2987,Intangible assets,Description for category 2987
Category 2988,Operating assets,Description for category 2988
Category 2989,Operating assets,Description for category 2989
Category 2990,Intangible assets,Description for category 2990
Category 2991,Operating assets,Description for category 2991
Category 2992,Intangible assets,Description for category 2992
Category 2993,Intangible assets,Description for category 2993
Category 2994,Tangible assets,Description for category 2994
Category 2995,Intangible assets,Description for category 2995
Category 2996,Tangible assets,Description for category 2996
Category 2997,Tangible assets,Description for category 2997
Category 2998,Intangible assets,Description for category 2998
Category 2999,Operating assets,Description for category 2999
Category 3000,Intangible assets,Description for category 3000
Category 3001,Tangible assets,Description for category 3001
Category 3002,Tangible assets,Description for category 3002
Category 3003,Tangible assets,Description for category 3003
Category 3004,Tangible assets,Description for category 3004
Category 3005,Intangible assets,Description for category 3005
Category 3006,Intangible assets,Description for category 3006
Category 3007,Intangible assets,Description for category 3007
Category 3008,Intangible assets,Description for category 3008
Category 3009,Intangible assets,Description for category 3009
Category 3010,Operating assets,Description for category 3010
Category 3011,Operating assets,Description for category 3011
Category 3012,Intangible assets,Description for category 3012
Category 3013,Tangible assets,Description for category 3013
Category 3014,Intangible assets,Description for category 3014
Category 3015,Tangible assets,Description for category 3015
Category 3016,Intangible assets,Description for category 3016
Category 3017,Intangible assets,Description for category 3017
Category 3018,Operating assets,Description for category 3018
Category 3019,Tangible assets,Description for category 3019
Category 3020,Tangible assets,Description for category 3020
Category 3021,Tangible assets,Description for category 3021
Category 3022,Tangible assets,Description for category 3022
Category 3023,Tangible assets,Description for category 3023
Category 3024,Operating assets,Description for category 3024
Category 3025,Intangible assets,Description for category 3025
Category 3026,Tangible assets,Description for category 3026
Category 3027,Operating assets,Description for category 3027
Category 3028,Tangible assets,Description for category 3028
Category 3029,Tangible assets,Description for category 3029
Category 3030,Operating assets,Description for category 3030
Category 3031,Intangible assets,Description for category 3031
Category 3032,Operating assets,Description for category 3032
Category 3033,Tangible assets,Description for category 3033
Category 3034,Operating assets,Description for category 3034
Category 3035,Operating assets,Description for category 3035
Category 3036,Intangible assets,Description for category 3036
Category 3037,Tangible assets,Description for category 3037
Category 3038,Tangible assets,Description for category 3038
Category 3039,Operating assets,Description for category 3039
Category 3040,Intangible assets,Description for category 3040
Category 3041,Intangible assets,Description for category 3041
Category 3042,Operating assets,Description for category 3042
Category 3043,Intangible assets,Description for category 3043
Category 3044,Operating assets,Description for category 3044
Category 3045,Tangible assets,Description for category 3045
Category 3046,Tangible assets,Description for category 3046
Category 3047,Intangible assets,Description for category 3047
Category 3048,Operating assets,Description for category 3048
Category 3049,Operating assets,Description for category 3049
Category 3050,Tangible assets,Description for category 3050
Category 3051,Intangible assets,Description for category 3051
Category 3052,Operating assets,Description for category 3052
Category 3053,Operating assets,Description for category 3053
Category 3054,Intangible assets,Description for category 3054
Category 3055,Operating assets,Description for category 3055
Category 3056,Intangible assets,Description for category 3056
Category 3057,Intangible assets,Description for category 3057
Category 3058,Tangible assets,Description for category 3058
Category 3059,Tangible assets,Description for category 3059
Category 3060,Operating assets,Description for category 3060
Category 3061,Operating assets,Description for category 3061
Category 3062,Intangible assets,Description for category 3062
Category 3063,Operating assets,Description for category 3063
Category 3064,Operating assets,Description for category 3064
Category 3065,Tangible assets,Description for category 3065
Category 3066,Tangible assets,Description for category 3066
Category 3067,Operating assets,Description for category 3067
Category 3068,Tangible assets,Description for category 3068
Category 3069,Intangible assets,Description for category 3069
Category 3070,Operating assets,Description for category 3070
Category 3071,Intangible assets,Description for category 3071
Category 3072,Tangible assets,Description for category 3072
Category 3073,Intangible assets,Description for category 3073
Category 3074,Tangible assets,Description for category 3074
Category 3075,Tangible assets,Description for category 3075
Category 3076,Intangible assets,Description for category 3076
Category 3077,Tangible assets,Description for category 3077
Category 3078,Operating assets,Description for category 3078
Category 3079,Tangible assets,Description for category 3079
Category 3080,Intangible assets,Description for category 3080
Category 3081,Operating assets,Description for category 3081
Category 3082,Intangible assets,Description for category 3082
Category 3083,Operating assets,Description for category 3083
Category 3084,Intangible assets,Description for category 3084
Category 3085,Operating assets,Description for category 3085
Category 3086,Operating assets,Description for category 3086
Category 3087,Intangible assets,Description for category 3087
Category 3088,Intangible assets,Description for category 3088
Category 3089,Operating assets,Description for category 3089
Category 3090,Tangible assets,Description for category 3090
Category 3091,Tangible assets,Description for category 3091
Category 3092,Intangible assets,Description for category 3092
Category 3093,Operating assets,Description for category 3093
Category 3094,Operating assets,Description for category 3094
Category 3095,Tangible assets,Description for category 3095
Category 3096,Tangible assets,Description for category 3096
Category 3097,Intangible assets,Description for category 3097
Category 3098,Operating assets,Description for category 3098
Category 3099,Tangible assets,Description for category 3099
Category 3100,Operating assets,Description for category 3100
Category 3101,Tangible assets,Description for category 3101
Category 3102,Operating assets,Description for category 3102
Category 3103,Operating assets,Description for category 3103
Category 3104,Intangible assets,Description for category 3104
Category 3105,Tangible assets,Description for category 3105
Category 3106,Operating assets,Description for category 3106
Category 3107,Tangible assets,Description for category 3107
Category 3108,Intangible assets,Description for category 3108
Category 3109,Intangible assets,Description for category 3109
Category 3110,Tangible assets,Description for category 3110
Category 3111,Operating assets,Description for category 3111
Category 3112,Intangible assets,Description for category 3112
Category 3113,Intangible assets,Description for category 3113
Category 3114,Intangible assets,Description for category 3114
Category 3115,Tangible assets,Description for category 3115
Category 3116,Operating assets,Description for category 3116
Category 3117,Operating assets,Description for category 3117
Category 3118,Operating assets,Description for category 3118
Category 3119,Operating assets,Description for category 3119
Category 3120,Operating assets,Description for category 3120
Category 3121,Tangible assets,Description for category 3121
Category 3122,Operating assets,Description for category 3122
Category 3123,Intangible assets,Description for category 3123
Category 3124,Intangible assets,Description for category 3124
Category 3125,Intangible assets,Description for category 3125
Category 3126,Tangible assets,Description for category 3126
Category 3127,Operating assets,Description for category 3127
Category 3128,Tangible assets,Description for category 3128
Category 3129,Operating assets,Description for category 3129
Category 3130,Operating assets,Description for category 3130
Category 3131,Intangible assets,Description for category 3131
Category 3132,Operating assets,Description for category 3132
Category 3133,Tangible assets,Description for category 3133
Category 3134,Intangible assets,Description for category 3134
Category 3135,Tangible assets,Description for category 3135
Category 3136,Intangible assets,Description for category 3136
Category 3137,Intangible assets,Description for category 3137
Category 3138,Intangible assets,Description for category 3138
Category 3139,Intangible assets,Description for category 3139
Category 3140,Intangible assets,Description for category 3140
Category 3141,Intangible assets,Description for category 3141
Category 3142,Intangible assets,Description for category 3142
Category 3143,Intangible assets,Description for category 3143
Category 3144,Operating assets,Description for category 3144
Category 3145,Intangible assets,Description for category 3145
Category 3146,Tangible assets,Description for category 3146
Category 3147,Intangible assets,Description for category 3147
Category 3148,Intangible assets,Description for category 3148
Category 3149,Tangible assets,Description for category 3149
Category 3150,Intangible assets,Description for category 3150
Category 3151,Tangible assets,Description for category 3151
Category 3152,Tangible assets,Description for category 3152
Category 3153,Tangible assets,Description for category 3153
Category 3154,Operating assets,Description for category 3154
Category 3155,Tangible assets,Description for category 3155
Category 3156,Operating assets,Description for category 3156
Category 3157,Intangible assets,Description for category 3157
Category 3158,Intangible assets,Description for category 3158
Category 3159,Tangible assets,Description for category 3159
Category 3160,Operating assets,Description for category 3160
Category 3161,Tangible assets,Description for category 3161
Category 3162,Tangible assets,Description for category 3162
Category 3163,Operating assets,Description for category 3163
Category 3164,Operating assets,Description for category 3164
Category 3165,Tangible assets,Description for category 3165
Category 3166,Tangible assets,Description for category 3166
Category 3167,Intangible assets,Description for category 3167
Category 3168,Tangible assets,Description for category 3168
Category 3169,Intangible assets,Description for category 3169
Category 3170,Intangible assets,Description for category 3170
Category 3171,Intangible assets,Description for category 3171
Category 3172,Intangible assets,Description for category 3172
Category 3173,Intangible assets,Description for category 3173
Category 3174,Operating assets,Description for category 3174
Category 3175,Intangible assets,Description for category 3175
Category 3176,Intangible assets,Description for category 3176
Category 3177,Intangible assets,Description for category 3177
Category 3178,Tangible assets,Description for category 3178
Category 3179,Tangible assets,Description for category 3179
Category 3180,Operating assets,Description for category 3180
Category 3181,Intangible assets,Description for category 3181
Category 3182,Intangible assets,Description for category 3182
Category 3183,Intangible assets,Description for category 3183
Category 3184,Intangible assets,Description for category 3184
Category 3185,Tangible assets,Description for category 3185
Category 3186,Tangible assets,Description for category 3186
Category 3187,Intangible assets,Description for category 3187
Category 3188,Operating assets,Description for category 3188
Category 3189,Operating assets,Description for category 3189
Category 3190,Operating assets,Description for category 3190
Category 3191,Tangible assets,Description for category 3191
Category 3192,Operating assets,Description for category 3192
Category 3193,Tangible assets,Description for category 3193
Category 3194,Tangible assets,Description for category 3194
Category 3195,Operating assets,Description for category 3195
Category 3196,Tangible assets,Description for category 3196
Category 3197,Operating assets,Description for category 3197
Category 3198,Tangible assets,Description for category 3198
Category 3199,Operating assets,Description for category 3199
Category 3200,Intangible assets,Description for category 3200
Category 3201,Tangible assets,Description for category 3201
Category 3202,Tangible assets,Description for category 3202
Category 3203,Tangible assets,Description for category 3203
Category 3204,Intangible assets,Description for category 3204
Category 3205,Tangible assets,Description for category 3205
Category 3206,Operating assets,Description for category 3206
Category 3207,Operating assets,Description for category 3207
Category 3208,Operating assets,Description for category 3208
Category 3209,Operating assets,Description for category 3209
Category 3210,Operating assets,Description for category 3210
Category 3211,Intangible assets,Description for category 3211
Category 3212,Tangible assets,Description for category 3212
Category 3213,Intangible assets,Description for category 3213
Category 3214,Intangible assets,Description for category 3214
Category 3215,Tangible assets,Description for category 3215
Category 3216,Intangible assets,Description for category 3216
Category 3217,Operating assets,Description for category 3217
Category 3218,Intangible assets,Description for category 3218
Category 3219,Operating assets,Description for category 3219
Category 3220,Operating assets,Description for category 3220
Category 3221,Operating assets,Description for category 3221
Category 3222,Intangible assets,Description for category 3222
Category 3223,Tangible assets,Description for category 3223
Category 3224,Tangible assets,Description for category 3224
Category 3225,Intangible assets,Description for category 3225
Category 3226,Tangible assets,Description for category 3226
Category 3227,Tangible assets,Description for category 3227
Category 3228,Operating assets,Description for category 3228
Category 3229,Intangible assets,Description for category 3229
Category 3230,Intangible assets,Description for category 3230
Category 3231,Intangible assets,Description for category 3231
Category 3232,Operating assets,Description for category 3232
Category 3233,Tangible assets,Description for category 3233
Category 3234,Tangible assets,Description for category 3234
Category 3235,Intangible assets,Description for category 3235
Category 3236,Intangible assets,Description for category 3236
