name,asset_type_name,category_name,sub_category_name,asset_description,asset_details
Asset 02812,Fixed assets,Office Equipment,Monitors,"Description for Asset 02812, Fixed assets in Office Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}]"
Asset 02813,Operating assets,Machinery,Monitors,"Description for Asset 02813, Operating assets in Machinery category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 02814,Intangible assets,Vehicles,Tablets,"Description for Asset 02814, Intangible assets in Vehicles category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 02815,Fixed assets,Machinery,Switches,"Description for Asset 02815, Fixed assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 02816,Non-operating assets,Tools,Servers,"Description for Asset 02816, Non-operating assets in Tools category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Configuration""}]"
Asset 02817,Tangible assets,Tools,Monitors,"Description for Asset 02817, Tangible assets in Tools category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""License""}]"
Asset 02818,Intangible assets,Tools,Printers,"Description for Asset 02818, Intangible assets in Tools category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}]"
Asset 02819,Current assets,Furniture,Laptops,"Description for Asset 02819, Current assets in Furniture category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}]"
Asset 02820,Current assets,Electronics,Desktops,"Description for Asset 02820, Current assets in Electronics category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}]"
Asset 02821,Current assets,Vehicles,Switches,"Description for Asset 02821, Current assets in Vehicles category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Warranty Info""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}]"
Asset 02822,Operating assets,Electronics,Monitors,"Description for Asset 02822, Operating assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}]"
Asset 02823,Current assets,Machinery,Servers,"Description for Asset 02823, Current assets in Machinery category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}]"
Asset 02824,Current assets,Furniture,Routers,"Description for Asset 02824, Current assets in Furniture category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}]"
Asset 02825,Fixed assets,Office Equipment,Monitors,"Description for Asset 02825, Fixed assets in Office Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 02826,Intangible assets,Tools,Monitors,"Description for Asset 02826, Intangible assets in Tools category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}]"
Asset 02827,Tangible assets,IT Equipment,Laptops,"Description for Asset 02827, Tangible assets in IT Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}]"
Asset 02828,Tangible assets,Furniture,Routers,"Description for Asset 02828, Tangible assets in Furniture category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 02829,Intangible assets,IT Equipment,Printers,"Description for Asset 02829, Intangible assets in IT Equipment category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}]"
Asset 02830,Tangible assets,Office Equipment,Printers,"Description for Asset 02830, Tangible assets in Office Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}]"
Asset 02831,Fixed assets,Network Equipment,Servers,"Description for Asset 02831, Fixed assets in Network Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 02832,Intangible assets,Network Equipment,Phones,"Description for Asset 02832, Intangible assets in Network Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}]"
Asset 02833,Operating assets,Software,Switches,"Description for Asset 02833, Operating assets in Software category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}]"
Asset 02834,Tangible assets,Software,Laptops,"Description for Asset 02834, Tangible assets in Software category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Specification""}]"
Asset 02835,Intangible assets,Vehicles,Printers,"Description for Asset 02835, Intangible assets in Vehicles category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}]"
Asset 02836,Current assets,Machinery,Tablets,"Description for Asset 02836, Current assets in Machinery category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 02837,Non-operating assets,Tools,Routers,"Description for Asset 02837, Non-operating assets in Tools category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 02838,Non-operating assets,IT Equipment,Servers,"Description for Asset 02838, Non-operating assets in IT Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 02839,Non-operating assets,Machinery,Servers,"Description for Asset 02839, Non-operating assets in Machinery category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}]"
Asset 02840,Operating assets,Electronics,Phones,"Description for Asset 02840, Operating assets in Electronics category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Warranty Info""}]"
Asset 02841,Operating assets,Furniture,Tablets,"Description for Asset 02841, Operating assets in Furniture category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}]"
Asset 02842,Operating assets,Software,Routers,"Description for Asset 02842, Operating assets in Software category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}]"
Asset 02843,Fixed assets,Electronics,Routers,"Description for Asset 02843, Fixed assets in Electronics category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}]"
Asset 02844,Fixed assets,Furniture,Laptops,"Description for Asset 02844, Fixed assets in Furniture category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Warranty Info""}]"
Asset 02845,Non-operating assets,Tools,Tablets,"Description for Asset 02845, Non-operating assets in Tools category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}]"
Asset 02846,Operating assets,Tools,Servers,"Description for Asset 02846, Operating assets in Tools category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}]"
Asset 02847,Fixed assets,Machinery,Desktops,"Description for Asset 02847, Fixed assets in Machinery category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 02848,Current assets,Tools,Switches,"Description for Asset 02848, Current assets in Tools category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}]"
Asset 02849,Non-operating assets,Network Equipment,Routers,"Description for Asset 02849, Non-operating assets in Network Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Specification""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 02850,Fixed assets,Office Equipment,Routers,"Description for Asset 02850, Fixed assets in Office Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}]"
Asset 02851,Intangible assets,Electronics,Desktops,"Description for Asset 02851, Intangible assets in Electronics category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}]"
Asset 02852,Tangible assets,Office Equipment,Monitors,"Description for Asset 02852, Tangible assets in Office Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Warranty Info""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}]"
Asset 02853,Fixed assets,Vehicles,Routers,"Description for Asset 02853, Fixed assets in Vehicles category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 02854,Operating assets,Network Equipment,Servers,"Description for Asset 02854, Operating assets in Network Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}]"
Asset 02855,Current assets,Furniture,Monitors,"Description for Asset 02855, Current assets in Furniture category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 02856,Fixed assets,Network Equipment,Printers,"Description for Asset 02856, Fixed assets in Network Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}]"
Asset 02857,Non-operating assets,Electronics,Servers,"Description for Asset 02857, Non-operating assets in Electronics category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 02858,Tangible assets,Network Equipment,Tablets,"Description for Asset 02858, Tangible assets in Network Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 02859,Non-operating assets,Furniture,Tablets,"Description for Asset 02859, Non-operating assets in Furniture category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 02860,Fixed assets,Furniture,Monitors,"Description for Asset 02860, Fixed assets in Furniture category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}]"
Asset 02861,Intangible assets,Furniture,Phones,"Description for Asset 02861, Intangible assets in Furniture category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 02862,Current assets,Vehicles,Routers,"Description for Asset 02862, Current assets in Vehicles category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}]"
Asset 02863,Non-operating assets,Machinery,Monitors,"Description for Asset 02863, Non-operating assets in Machinery category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}]"
Asset 02864,Non-operating assets,Electronics,Desktops,"Description for Asset 02864, Non-operating assets in Electronics category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 02865,Fixed assets,Network Equipment,Servers,"Description for Asset 02865, Fixed assets in Network Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 02866,Intangible assets,Network Equipment,Phones,"Description for Asset 02866, Intangible assets in Network Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}]"
Asset 02867,Fixed assets,Network Equipment,Routers,"Description for Asset 02867, Fixed assets in Network Equipment category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}]"
Asset 02868,Tangible assets,Furniture,Printers,"Description for Asset 02868, Tangible assets in Furniture category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}]"
Asset 02869,Current assets,Tools,Laptops,"Description for Asset 02869, Current assets in Tools category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 02870,Operating assets,Electronics,Switches,"Description for Asset 02870, Operating assets in Electronics category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Specification""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}]"
Asset 02871,Current assets,Machinery,Servers,"Description for Asset 02871, Current assets in Machinery category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}]"
Asset 02872,Fixed assets,Vehicles,Laptops,"Description for Asset 02872, Fixed assets in Vehicles category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}]"
Asset 02873,Fixed assets,Electronics,Laptops,"Description for Asset 02873, Fixed assets in Electronics category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}]"
Asset 02874,Operating assets,Tools,Routers,"Description for Asset 02874, Operating assets in Tools category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}]"
Asset 02875,Non-operating assets,Electronics,Switches,"Description for Asset 02875, Non-operating assets in Electronics category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 02876,Tangible assets,Office Equipment,Routers,"Description for Asset 02876, Tangible assets in Office Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 02877,Operating assets,Network Equipment,Routers,"Description for Asset 02877, Operating assets in Network Equipment category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 02878,Non-operating assets,Machinery,Switches,"Description for Asset 02878, Non-operating assets in Machinery category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 02879,Tangible assets,Tools,Printers,"Description for Asset 02879, Tangible assets in Tools category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}]"
Asset 02880,Operating assets,Machinery,Servers,"Description for Asset 02880, Operating assets in Machinery category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 02881,Intangible assets,Machinery,Switches,"Description for Asset 02881, Intangible assets in Machinery category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""License""}]"
Asset 02882,Current assets,Electronics,Printers,"Description for Asset 02882, Current assets in Electronics category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 02883,Non-operating assets,Office Equipment,Tablets,"Description for Asset 02883, Non-operating assets in Office Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 02884,Non-operating assets,Vehicles,Laptops,"Description for Asset 02884, Non-operating assets in Vehicles category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}]"
Asset 02885,Operating assets,Electronics,Monitors,"Description for Asset 02885, Operating assets in Electronics category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Optimized for performance"", ""detailtype"": ""License""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}]"
Asset 02886,Current assets,Software,Laptops,"Description for Asset 02886, Current assets in Software category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}]"
Asset 02887,Current assets,Network Equipment,Routers,"Description for Asset 02887, Current assets in Network Equipment category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}]"
Asset 02888,Tangible assets,Office Equipment,Servers,"Description for Asset 02888, Tangible assets in Office Equipment category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}]"
Asset 02889,Fixed assets,Office Equipment,Desktops,"Description for Asset 02889, Fixed assets in Office Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}]"
Asset 02890,Non-operating assets,Machinery,Phones,"Description for Asset 02890, Non-operating assets in Machinery category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}]"
Asset 02891,Fixed assets,Vehicles,Desktops,"Description for Asset 02891, Fixed assets in Vehicles category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 02892,Fixed assets,Software,Monitors,"Description for Asset 02892, Fixed assets in Software category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 02893,Current assets,Tools,Printers,"Description for Asset 02893, Current assets in Tools category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 02894,Tangible assets,Network Equipment,Desktops,"Description for Asset 02894, Tangible assets in Network Equipment category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}]"
Asset 02895,Non-operating assets,Machinery,Tablets,"Description for Asset 02895, Non-operating assets in Machinery category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}]"
Asset 02896,Non-operating assets,Software,Printers,"Description for Asset 02896, Non-operating assets in Software category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 02897,Operating assets,Electronics,Servers,"Description for Asset 02897, Operating assets in Electronics category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 02898,Non-operating assets,Tools,Switches,"Description for Asset 02898, Non-operating assets in Tools category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}]"
Asset 02899,Tangible assets,Tools,Monitors,"Description for Asset 02899, Tangible assets in Tools category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 02900,Current assets,Tools,Tablets,"Description for Asset 02900, Current assets in Tools category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Maintenance""}]"
Asset 02901,Tangible assets,Machinery,Servers,"Description for Asset 02901, Tangible assets in Machinery category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}]"
Asset 02902,Current assets,Vehicles,Desktops,"Description for Asset 02902, Current assets in Vehicles category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Specification""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}]"
Asset 02903,Current assets,Tools,Laptops,"Description for Asset 02903, Current assets in Tools category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 02904,Intangible assets,Software,Switches,"Description for Asset 02904, Intangible assets in Software category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 02905,Operating assets,Vehicles,Desktops,"Description for Asset 02905, Operating assets in Vehicles category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}]"
Asset 02906,Tangible assets,Machinery,Monitors,"Description for Asset 02906, Tangible assets in Machinery category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}]"
Asset 02907,Operating assets,Network Equipment,Switches,"Description for Asset 02907, Operating assets in Network Equipment category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 02908,Intangible assets,Vehicles,Desktops,"Description for Asset 02908, Intangible assets in Vehicles category","[{""details"": ""Optimized for performance"", ""detailtype"": ""License""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 02909,Fixed assets,Tools,Tablets,"Description for Asset 02909, Fixed assets in Tools category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}]"
Asset 02910,Operating assets,Software,Laptops,"Description for Asset 02910, Operating assets in Software category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 02911,Intangible assets,Network Equipment,Monitors,"Description for Asset 02911, Intangible assets in Network Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 02912,Tangible assets,Electronics,Servers,"Description for Asset 02912, Tangible assets in Electronics category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 02913,Intangible assets,Tools,Phones,"Description for Asset 02913, Intangible assets in Tools category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 02914,Tangible assets,Vehicles,Phones,"Description for Asset 02914, Tangible assets in Vehicles category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""License""}]"
Asset 02915,Current assets,Software,Phones,"Description for Asset 02915, Current assets in Software category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}]"
Asset 02916,Intangible assets,Electronics,Printers,"Description for Asset 02916, Intangible assets in Electronics category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}]"
Asset 02917,Non-operating assets,Office Equipment,Printers,"Description for Asset 02917, Non-operating assets in Office Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}]"
Asset 02918,Intangible assets,Furniture,Phones,"Description for Asset 02918, Intangible assets in Furniture category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 02919,Fixed assets,Software,Monitors,"Description for Asset 02919, Fixed assets in Software category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 02920,Operating assets,Tools,Phones,"Description for Asset 02920, Operating assets in Tools category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}]"
Asset 02921,Intangible assets,IT Equipment,Servers,"Description for Asset 02921, Intangible assets in IT Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}]"
Asset 02922,Intangible assets,Vehicles,Phones,"Description for Asset 02922, Intangible assets in Vehicles category","[{""details"": ""Energy efficient model"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}]"
Asset 02923,Non-operating assets,Vehicles,Routers,"Description for Asset 02923, Non-operating assets in Vehicles category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}]"
Asset 02924,Tangible assets,Furniture,Routers,"Description for Asset 02924, Tangible assets in Furniture category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}]"
Asset 02925,Tangible assets,Machinery,Desktops,"Description for Asset 02925, Tangible assets in Machinery category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 02926,Non-operating assets,Electronics,Phones,"Description for Asset 02926, Non-operating assets in Electronics category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 02927,Current assets,Furniture,Tablets,"Description for Asset 02927, Current assets in Furniture category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 02928,Intangible assets,Network Equipment,Phones,"Description for Asset 02928, Intangible assets in Network Equipment category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Maintenance""}]"
Asset 02929,Current assets,Electronics,Servers,"Description for Asset 02929, Current assets in Electronics category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
